Name,Nparksnormalized,Arnormalized
CENTRO,1.00,0.86
ROMA NORTE,0.22,0.79
CUAUHTEMOC,0.22,0.72
GUERRERO,0.22,0.87
ROMA SUR,0.11,0.00
HIPODROMO,0.11,0.96
CONDESA,0.11,1.00
JUAREZ,0.11,0.00
MORELOS,0.11,0.56
BUENAVISTA,0.11,0.00
SANTA MARIA LA RIBERA,0.11,0.00
PERALVILLO,0.11,0.61
ASTURIAS,0.00,0.00
BUENOS AIRES,0.00,0.00
ALGARIN,0.00,0.00
Ampl. ASTURIAS,0.00,0.00
HIPODROMO CONDESA,0.00,0.00
VISTA ALEGRE,0.00,0.00
PAULINO NAVARRO,0.00,0.00
OBRERA,0.00,0.00
ESPERANZA,0.00,0.00
TRANSITO,0.00,0.00
DOCTORES,0.00,0.00
TABACALERA,0.00,0.00
SAN RAFAEL,0.00,0.00
FELIPE PESCADOR,0.00,0.00
MAZA,0.00,0.00
NONOALCO TLATELOLCO,0.00,0.00
EX HIPODROMO DE PERALVILLO,0.00,0.00
VALLE GOMEZ,0.00,0.00
ATLAMPA,0.00,0.00
SAN SIMON TOLNAHUAC,0.00,0.00
SANTA MARIA INSURGENTES,0.00,0.00
